Learning Rate, Gamma, Reward 
0.1, 0.44999999999999996, -370.0
0.1, 0.44999999999999996, -112.0
0.1, 0.44999999999999996, -93.0
0.1, 0.44999999999999996, -19.0
0.1, 0.44999999999999996, -611.0
0.1, 0.44999999999999996, -336.0
0.1, 0.44999999999999996, -29.0
0.1, 0.44999999999999996, -13.0
0.1, 0.44999999999999996, -296.0
0.1, 0.44999999999999996, -147.0
0.1, 0.44999999999999996, -84.0
0.1, 0.44999999999999996, -11.0
0.1, 0.44999999999999996, -152.0
0.1, 0.44999999999999996, 0.0
0.1, 0.44999999999999996, -76.0
0.1, 0.44999999999999996, -30.0
0.1, 0.44999999999999996, -62.0
0.1, 0.44999999999999996, -70.0
0.1, 0.44999999999999996, 52.0
0.1, 0.44999999999999996, -34.0
0.1, 0.44999999999999996, -16.0
0.1, 0.44999999999999996, -22.0
0.1, 0.44999999999999996, -91.0
0.1, 0.44999999999999996, 10.0
0.1, 0.44999999999999996, -107.0
0.1, 0.44999999999999996, -17.0
0.1, 0.44999999999999996, -25.0
0.1, 0.44999999999999996, 24.0
0.1, 0.44999999999999996, -4.0
0.1, 0.44999999999999996, 11.0
0.1, 0.44999999999999996, -34.0
0.1, 0.44999999999999996, -5.0
0.1, 0.44999999999999996, -36.0
0.1, 0.44999999999999996, -55.0
0.1, 0.44999999999999996, -37.0
0.1, 0.44999999999999996, -1.0
0.1, 0.44999999999999996, -19.0
0.1, 0.44999999999999996, -87.0
0.1, 0.44999999999999996, 14.0
0.1, 0.44999999999999996, 12.0
0.1, 0.44999999999999996, -26.0
0.1, 0.44999999999999996, 10.0
0.1, 0.44999999999999996, 17.0
0.1, 0.44999999999999996, 7.0
0.1, 0.44999999999999996, 25.0
0.1, 0.49999999999999994, -496.0
0.1, 0.49999999999999994, -1693.0
0.1, 0.49999999999999994, -1622.0
0.1, 0.49999999999999994, -371.0
0.1, 0.49999999999999994, -531.0
0.1, 0.49999999999999994, -1678.0
0.1, 0.49999999999999994, -318.0
0.1, 0.49999999999999994, -559.0
0.1, 0.49999999999999994, -675.0
0.1, 0.49999999999999994, -602.0
0.1, 0.49999999999999994, -506.0
0.1, 0.49999999999999994, -171.0
0.1, 0.49999999999999994, -75.0
0.1, 0.49999999999999994, -367.0
0.1, 0.49999999999999994, -575.0
0.1, 0.49999999999999994, -581.0
0.1, 0.49999999999999994, -290.0
0.1, 0.49999999999999994, -179.0
0.1, 0.49999999999999994, -219.0
0.1, 0.49999999999999994, -654.0
0.1, 0.49999999999999994, -114.0
0.1, 0.49999999999999994, 0.0
0.1, 0.49999999999999994, -177.0
0.1, 0.49999999999999994, -376.0
0.1, 0.49999999999999994, -277.0
0.1, 0.49999999999999994, -180.0
0.1, 0.49999999999999994, -6.0
0.1, 0.49999999999999994, -31.0
0.1, 0.49999999999999994, -416.0
0.1, 0.49999999999999994, -426.0
0.1, 0.49999999999999994, -290.0
0.1, 0.49999999999999994, -155.0
0.1, 0.49999999999999994, 18.0
0.1, 0.49999999999999994, -156.0
0.1, 0.49999999999999994, -363.0
0.1, 0.49999999999999994, -64.0
0.1, 0.49999999999999994, -87.0
0.1, 0.49999999999999994, -215.0
0.1, 0.49999999999999994, -87.0
0.1, 0.49999999999999994, -178.0
0.1, 0.49999999999999994, -13.0
0.1, 0.49999999999999994, -416.0
0.1, 0.49999999999999994, -108.0
0.1, 0.49999999999999994, -386.0
0.1, 0.49999999999999994, -114.0
0.1, 0.49999999999999994, -13.0
0.1, 0.49999999999999994, -128.0
0.1, 0.49999999999999994, -160.0
0.1, 0.49999999999999994, 14.0
0.1, 0.49999999999999994, -114.0
0.1, 0.49999999999999994, -73.0
0.1, 0.49999999999999994, -36.0
0.1, 0.49999999999999994, -199.0
0.1, 0.49999999999999994, -125.0
0.1, 0.49999999999999994, -123.0
0.1, 0.49999999999999994, -297.0
0.1, 0.49999999999999994, -272.0
0.1, 0.49999999999999994, 3.0
0.1, 0.49999999999999994, -181.0
